Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,date_station_id,prev_day_precip
2007-05-01,1,83,50,67,51,56,0,2,448,1849,0.0,29.1,29.82,1.7,27,9.2,2007-05-01 00:00:001,0.01
2007-05-01,2,84,52,68,51,57,0,3,448,1849,0.0,29.18,29.82,2.7,25,9.6,2007-05-01 00:00:002,0.0
2007-05-02,1,59,42,51,42,47,14,0,447,1850,0.0,29.38,30.09,13.0,4,13.4,2007-05-02 00:00:001,0.0
2007-05-02,2,60,43,52,42,47,13,0,447,1850,0.0,29.44,30.08,13.3,2,13.4,2007-05-02 00:00:002,0.0
2007-05-03,1,66,46,56,40,48,9,0,446,1851,0.0,29.39,30.12,11.7,7,11.9,2007-05-03 00:00:001,0.0
2007-05-03,2,67,48,58,40,50,7,0,446,1851,0.0,29.46,30.12,12.9,6,13.2,2007-05-03 00:00:002,0.0
2007-05-04,1,66,49,58,41,50,7,0,444,1852,0.0,29.31,30.05,10.4,8,10.8,2007-05-04 00:00:001,0.0
2007-05-04,2,78,51,58,42,50,7,0,444,1852,0.0,29.36,30.04,10.1,7,10.4,2007-05-04 00:00:002,0.0
2007-05-05,1,66,53,60,38,49,5,0,443,1853,0.0,29.4,30.1,11.7,7,12.0,2007-05-05 00:00:001,0.0
2007-05-05,2,66,54,60,39,50,5,0,443,1853,0.0,29.46,30.09,11.2,7,11.5,2007-05-05 00:00:002,0.0
2007-05-06,1,68,49,59,30,46,6,0,442,1855,0.0,29.57,30.29,14.4,11,15.0,2007-05-06 00:00:001,0.0
2007-05-06,2,68,52,60,30,46,5,0,442,1855,0.0,29.62,30.28,13.8,10,14.5,2007-05-06 00:00:002,0.0
2007-05-07,2,84,50,67,39,53,0,2,441,1856,0.0,29.44,30.12,8.5,17,9.9,2007-05-07 00:00:002,0.0
2007-05-07,1,83,47,65,41,54,0,0,441,1856,0.0,29.38,30.12,8.6,18,10.5,2007-05-07 00:00:001,0.0
2007-05-08,2,80,60,70,57,63,0,5,439,1857,0.0,29.36,30.02,2.5,8,5.4,2007-05-08 00:00:002,0.0
2007-05-08,1,82,54,68,58,62,0,3,439,1857,0.0,29.29,30.03,2.7,11,5.8,2007-05-08 00:00:001,0.0
2007-05-09,2,76,63,70,60,63,0,5,438,1858,0.02,29.28,29.93,3.9,7,5.9,2007-05-09 00:00:002,0.0
2007-05-09,1,77,61,69,59,63,0,4,438,1858,0.13,29.21,29.94,3.9,9,6.2,2007-05-09 00:00:001,0.0
2007-05-10,2,83,59,71,52,61,0,6,437,1859,0.0,29.26,29.91,2.0,9,3.9,2007-05-10 00:00:002,0.02
2007-05-10,1,84,56,70,52,60,0,5,437,1859,0.0,29.2,29.92,0.7,17,4.1,2007-05-10 00:00:001,0.13
2007-05-11,2,73,49,61,44,51,4,0,436,1860,0.0,29.39,30.03,11.7,36,12.8,2007-05-11 00:00:002,0.0
2007-05-11,1,70,51,61,42,51,4,0,436,1860,0.0,29.33,30.04,11.3,3,12.9,2007-05-11 00:00:001,0.0
2007-05-12,2,65,47,56,37,46,9,0,435,1901,0.0,29.54,30.19,12.7,1,13.0,2007-05-12 00:00:002,0.0
2007-05-12,1,64,46,55,36,46,10,0,435,1901,0.0,29.49,30.2,12.4,3,12.9,2007-05-12 00:00:001,0.0
2007-05-13,1,69,43,56,33,46,9,0,434,1902,0.0,29.49,30.24,6.6,14,8.1,2007-05-13 00:00:001,0.0
2007-05-13,2,69,44,57,32,46,8,0,434,1902,0.0,29.55,30.24,6.4,11,7.6,2007-05-13 00:00:002,0.0
2007-05-14,2,90,54,72,45,58,0,7,433,1903,0.0,29.31,29.98,14.1,21,14.6,2007-05-14 00:00:002,0.0
2007-05-14,1,90,56,73,47,59,0,8,433,1903,0.0,29.23,29.97,16.9,21,17.3,2007-05-14 00:00:001,0.0
2007-05-15,1,80,57,69,56,61,0,4,432,1904,0.38,29.13,29.84,8.1,27,12.3,2007-05-15 00:00:001,0.0
2007-05-15,2,82,56,69,56,61,0,4,432,1904,0.6,29.19,29.83,8.1,25,10.8,2007-05-15 00:00:002,0.0
2007-05-16,1,66,44,55,43,48,10,0,431,1905,0.14,29.33,30.03,7.8,36,12.2,2007-05-16 00:00:001,0.6
2007-05-16,2,64,45,55,42,47,10,0,431,1905,0.07,29.39,30.03,8.0,36,11.8,2007-05-16 00:00:002,0.38
2007-05-17,2,61,44,53,32,43,12,0,430,1906,0.0,29.62,30.27,11.7,1,12.2,2007-05-17 00:00:002,0.07
2007-05-17,1,62,43,53,32,43,12,0,430,1906,0.0,29.55,30.27,10.5,3,11.3,2007-05-17 00:00:001,0.14
2007-05-18,2,70,43,57,31,47,8,0,429,1907,0.0,29.6,30.26,3.4,22,5.5,2007-05-18 00:00:002,0.0
2007-05-18,1,71,42,57,30,46,8,0,429,1907,0.0,29.53,30.25,5.4,25,7.5,2007-05-18 00:00:001,0.0
2007-05-19,1,80,56,68,39,53,0,3,428,1908,0.0,29.34,30.08,11.1,24,11.4,2007-05-19 00:00:001,0.0
2007-05-19,2,80,56,68,37,53,0,3,428,1908,0.0,29.41,30.08,11.1,23,11.4,2007-05-19 00:00:002,0.0
2007-05-20,2,69,44,57,41,45,8,0,427,1909,0.11,29.44,30.11,8.6,3,9.7,2007-05-20 00:00:002,0.0
2007-05-20,1,69,43,56,40,44,9,0,427,1909,0.07,29.38,30.11,10.4,4,10.7,2007-05-20 00:00:001,0.0
2007-05-21,2,79,46,63,50,57,2,0,426,1910,0.0,29.39,30.05,6.3,10,7.8,2007-05-21 00:00:002,0.07
2007-05-21,1,80,44,62,50,56,3,0,426,1910,0.0,29.33,30.06,6.3,11,8.2,2007-05-21 00:00:001,0.11
2007-05-22,2,87,60,74,44,58,0,9,425,1911,0.0,29.41,30.05,10.1,16,10.6,2007-05-22 00:00:002,0.0
